id,name,level,element,map,drops,hp
660,Devil Dango,220,Light,Otsukimi Event Venue: Crater Zone,"Otsukimi Dango, Cosmic Sword, Devil Dango's Heart, Broken Dango Stand, Orichalcum Ore, Devil Dango, Cosmic Spear, Usamochi",4790000
661,Devil Dango,170,Light,Otsukimi Event Venue: Crater Zone,"Otsukimi Dango, Cosmic Sword, Devil Dango's Heart, Broken Dango Stand, Mithril Ore, Cosmic Spear, Usamochi",2600000
662,Devil Dango,120,Light,Otsukimi Event Venue: Crater Zone,"Otsukimi Dango, Cosmic Sword, Devil Dango's Heart, Broken Dango Stand, Damascus Ore, Cosmic Spear, Usamochi",780000
663,Devil's Book,34,Dark,Scaro Town: Area 2,"Damaged Parchment, Torn Page, Evil Page, Whirlwind",1700
664,Diamond Hunter,200,Light,Anniversary Arena: 5th Venue,Golpom 5th Anniv Medal,2540000
665,Diamond Hunter,240,Light,Anniversary Arena: 5th Venue,Golpom 5th Anniv Medal,25400000
666,Diamond Hunter,220,Light,Anniversary Arena: 5th Venue,Golpom 5th Anniv Medal,12700000
667,Diamond Hunter,210,Light,Anniversary Arena: 5th Venue,Golpom 5th Anniv Medal,5080000
668,Diark,270,Dark,Tower of Clamor: Area 3 (230-234),-,Unknown
669,Dionea,193,Earth,Guardian Forest: Inner Area,"Desert Blade, Elastic Thorn, Dangerous Enzyme, Thick Leaf",38000
670,Dionea,193,Earth,Guardian Forest: Lost Woods,"Desert Blade, Elastic Thorn, Dangerous Enzyme, Thick Leaf",38000
671,Dionea,195,Earth,Guardian Forest: Outer Area,"Desert Blade, Elastic Thorn, Dangerous Enzyme, Thick Leaf",38000
672,Dirty Antique,0,Neutral,-,"Magic Arrow, Antique Knife, Dust Gemstone, Ribbon Charm, Handless Watch, Time Warp Watch, Broken Watch",0
673,Disaur,230,Earth,Boma Konda: Underground Area,"Anchor Bowgun, Dirty Weed, Big Neck Frill, Half-Eaten Mushroom",58115
674,Distressed Dark Dragon,250,Dark,Anniversary Arena: 6th Venue,-,25000000
675,Distressed Dark Dragon,230,Dark,Anniversary Arena: 6th Venue,-,12500000
676,Distressed Dark Dragon,220,Dark,Anniversary Arena: 6th Venue,-,5000000
677,Distressed Dark Dragon,210,Dark,Anniversary Arena: 6th Venue,-,2500000
678,Dodos,195,Earth,Vulcani Foothills,"Beak Knife, Broken Naruko, Armorlike Feather, Hornlike Beak",17200
679,Dodos,192,Earth,Vulcani Foothills,"Beak Knife, Broken Naruko, Armorlike Feather, Hornlike Beak",17200
680,Dominaredor,273,Dark,Frozen Falls: Depths,"Corroded Dragon Skin, Corroded Dragon Heart, Corroded Dragon Horns, Dominantrum, Dominant Scythespear, Dominaredor",40000000
681,Dominaredor,263,Dark,Frozen Falls: Depths,"Corroded Dragon Skin, Corroded Dragon Heart, Corroded Dragon Horns, Dominantrum, Dominant Scythespear, Dominaredor",16000000
682,Dominaredor,253,Dark,Frozen Falls: Depths,"Corroded Dragon Skin, Corroded Dragon Heart, Corroded Dragon Horns, Dominantrum, Dominant Scythespear, Dominaredor",8000000
683,Dominaredor,243,Dark,Frozen Falls: Depths,"Corroded Dragon Skin, Corroded Dragon Heart, Corroded Dragon Horns, Dominantrum, Dominant Scythespear",800000
684,Dominaredor,293,Dark,Frozen Falls: Depths,"Corroded Dragon Skin, Corroded Dragon Heart, Corroded Dragon Horns, Dominantrum, Dominant Scythespear, Dominaredor",80000000
685,Don Profundo,302,Water,Abandoned District: Ruins Summit,"Don Knuckles, Abyssal Creature Hard Claw, Abyssal Jewel, Abyssal Creature Exoskeleton, Abyssal Creature Giant Horn, Don Shield, Don Profundo",68000000
686,Don Profundo,282,Water,Abandoned District: Ruins Summit,"Don Knuckles, Abyssal Creature Hard Claw, Abyssal Jewel, Abyssal Creature Exoskeleton, Abyssal Creature Giant Horn, Don Shield, Don Profundo",34000000
687,Don Profundo,272,Water,Abandoned District: Ruins Summit,"Don Knuckles, Abyssal Creature Hard Claw, Abyssal Jewel, Abyssal Creature Exoskeleton, Abyssal Creature Giant Horn, Don Shield, Don Profundo",13600000
688,Don Profundo,262,Water,Abandoned District: Ruins Summit,"Don Knuckles, Abyssal Creature Hard Claw, Abyssal Jewel, Abyssal Creature Exoskeleton, Abyssal Creature Giant Horn, Don Shield, Don Profundo",6800000
689,Don Profundo,252,Water,Abandoned District: Ruins Summit,"Don Knuckles, Abyssal Creature Hard Claw, Abyssal Jewel, Abyssal Creature Giant Horn, Abyssal Creature Exoskeleton, Don Shield",680000
690,Don Yeti,103,Earth,Polde Ice Valley,"Ear Muff, Adventurer's Garb, Thick Fur, Cold Wood Stick, Cracked Big Axe, Don Yeti",Unknown
691,Doridi,244,Water,Carretera Mar,"Sea Cucumber, Sanguine Fragment, Mutated Membrane, Talisman of Deep Silence",0
692,Doridodi,296,Water,Marinatown: Area 2,"Sea Cucumber, Sanguine Fragment, Cnidosac, Doridodi",0
693,Dr. Leonardo (Bachelor),50,Fire,Eagle Talon Collab Venue,"Revita II, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",80000
694,Dr. Leonardo (Bachelor),40,Fire,Eagle Talon Collab Venue,"Revita II, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",32000
695,Dr. Leonardo (Bachelor),30,Fire,Eagle Talon Collab Venue,"Revita II, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",16000
696,Dr. Leonardo (Bachelor),20,Fire,Eagle Talon Collab Venue,"Revita II, Anti-Degradation, Vanquisher Mecha Wreck",1600
697,Dr. Leonardo (Bachelor),70,Fire,Eagle Talon Collab Venue,"Revita II, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",160000
698,Dr. Leonardo (Doctor),170,Fire,Eagle Talon Collab Venue,"Revita IV, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",13000000
699,Dr. Leonardo (Doctor),150,Fire,Eagle Talon Collab Venue,"Revita IV, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",6500000
700,Dr. Leonardo (Doctor),140,Fire,Eagle Talon Collab Venue,"Revita IV, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",2600000
701,Dr. Leonardo (Doctor),130,Fire,Eagle Talon Collab Venue,"Revita IV, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",1300000
702,Dr. Leonardo (DX Subcontractor),305,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",70000000
703,Dr. Leonardo (DX Subcontractor),295,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",28000000
704,Dr. Leonardo (DX Subcontractor),285,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",14000000
705,Dr. Leonardo (DX Subcontractor),325,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",140000000
706,Dr. Leonardo (Genius),220,Fire,Eagle Talon Collab Venue,"Revita V, Super Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",40000000
707,Dr. Leonardo (Genius),200,Fire,Eagle Talon Collab Venue,"Revita V, Super Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",20000000
708,Dr. Leonardo (Genius),190,Fire,Eagle Talon Collab Venue,"Revita V, Super Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",8000000
709,Dr. Leonardo (Genius),180,Fire,Eagle Talon Collab Venue,"Revita V, Super Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",4000000
710,Dr. Leonardo (Master),80,Fire,Eagle Talon Collab Venue,"Revita III, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",220000
711,Dr. Leonardo (Master),120,Fire,Eagle Talon Collab Venue,"Revita III, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",2200000
712,Dr. Leonardo (Master),100,Fire,Eagle Talon Collab Venue,"Revita III, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",1100000
713,Dr. Leonardo (Master),90,Fire,Eagle Talon Collab Venue,"Revita III, Anti-Degradation, Vanquisher Mecha Wreck, Dr. Leonardo",440000
714,Dr. Leonardo (Subcontractor),255,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",30000000
715,Dr. Leonardo (Subcontractor),245,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",12000000
716,Dr. Leonardo (Subcontractor),235,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",6000000
717,Dr. Leonardo (Subcontractor),275,Light,Eagle Talon Collab Venue,"Revita VI, Revita VII, Super Anti-Degradation, Vanquisher Mecha Wreck, Hero's Rag, Orichalcum Ore, Dr. Leonardo II, DX Fighter II",60000000
718,Drail,231,Earth,Boma Konda: Underground Area,"Boma Konda Ore, Moist Pebble, Small Dragon Wing, Flammarem",49599
719,Drail,228,Earth,Boma Konda: Underground Area,"Moist Pebble, Small Dragon Wing, Boma Konda Ore, Flammarem",48331
720,Dreamy Scarlet Sakura (Easy),160,Dark,Lush Falls : Upstream,"Scarlet Wicker Box, Alcoholic Petal, Broken Yozakura Twig, Sakura Liqueur, Adventurer's Garb",1230000
721,Dreamy Scarlet Sakura (Hard),200,Dark,Lush Falls : Upstream,"Scarlet Wicker Box, Alcoholic Petal, Broken Yozakura Twig, Sakura Liqueur, Adventurer's Garb",2830000
722,Dreamy Scarlet Sakura (Nightmare),220,Dark,Lush Falls : Upstream,"Scarlet Wicker Box, Alcoholic Petal, Broken Yozakura Twig, Sakura Liqueur, [Book of Ninja], Dreamy Arrow, Adventurer's Garb, Scarlet Sakura Dagger, Dreamy Scarlet Sakura",3550000
723,Dreamy Scarlet Sakura (Normal),180,Dark,Lush Falls : Upstream,"Broken Yozakura Twig, Sakura Liqueur, Scarlet Wicker Box, Alcoholic Petal, Adventurer's Garb",1950000
724,Dryanymon,198,Earth,Storage Yard: Area 2,"Strong Branch, Mysterious Flower, Hard Wood Board, Vine Staff",32500
725,Dryanymon,196,Earth,Storage Yard: Area 1,"Strong Branch, Mysterious Flower, Hard Wood Board, Vine Staff",32500
726,Dusk Machina,142,Dark,Small Demi Machina Factory: Area 2,"Monster's Big Arm, Crimson Huge Bone, Giant Hand Print, Dusk Machina",Unknown
727,Duston,72,Dark,Magic Waste Site: Area 2,"Iron Thorns, Big Dust, Tattered Cloth",Unknown
728,Duston,91,Earth,Klaspe Slum,"Filthy Cloth, Lump of Garbage, Rugged Stone, Lost Ring",Unknown
729,Duston,88,Earth,Klaspe Slum,"Filthy Cloth, Lump of Garbage, Rugged Stone, Lost Ring",Unknown
730,Duston,73,Dark,Magic Waste Site: Area 3,"Iron Thorns, Big Dust, Tattered Cloth",Unknown
731,Dutannen (Max),239,Water,Noeliel Castle: B4F,"Revita VII, Iced Vita Plus, Ice Spirit Sword, Ice Spirit Gun, Orichalcum Ore, Ice Spirit Spear, Prudent Blue Shadow",8000000
732,Dutannen (Medium),199,Water,Noeliel Castle: B4F,"Iced Vita Plus, Revita V, Ice Spirit Sword, Ice Spirit Gun, Damascus Ore, Ice Spirit Spear, Dutannen",5000000
733,Dutannen (Strong),219,Water,Noeliel Castle: B4F,"Revita VI, Iced Vita Plus, Ice Spirit Sword, Ice Spirit Gun, Mithril Ore, Ice Spirit Spear, Dutannen",6500000
734,Dutannen (Weak),179,Water,Noeliel Castle: B4F,"Iced Vita Plus, Revita IV, Ice Spirit Sword, Ice Spirit Gun, Hematite, Ice Spirit Spear, Dutannen",4000000
735,DX Fighter (Anthony),40,Light,Eagle Talon Collab Venue,"Revita III, Hero's Rag, Hematite, DX Fighter",32000
736,DX Fighter (Anthony),30,Light,Eagle Talon Collab Venue,"Revita III, Hero's Rag, Hematite",3200
737,DX Fighter (Anthony),80,Light,Eagle Talon Collab Venue,"Revita III, Hero's Rag, Hematite, DX Fighter",320000
738,DX Fighter (Anthony),60,Light,Eagle Talon Collab Venue,"Revita III, Hero's Rag, Hematite, DX Fighter",160000
739,DX Fighter (Anthony),50,Light,Eagle Talon Collab Venue,"Revita III, Hero's Rag, Hematite, DX Fighter",64000
740,DX Fighter (Deluxe),160,Light,Eagle Talon Collab Venue,"Revita V, Hero's Rag, Mithril Ore, DX Fighter",9000000
741,DX Fighter (Deluxe),150,Light,Eagle Talon Collab Venue,"Revita V, Hero's Rag, Mithril Ore, DX Fighter",3600000
742,DX Fighter (Deluxe),140,Light,Eagle Talon Collab Venue,"Revita V, Hero's Rag, Mithril Ore, DX Fighter",1800000
743,DX Fighter (Deluxe),180,Light,Eagle Talon Collab Venue,"Revita V, Hero's Rag, Mithril Ore, DX Fighter",18000000
744,DX Fighter (Fighter),130,Light,Eagle Talon Collab Venue,"Revita IV, Hero's Rag, Damascus Ore, DX Fighter",3300000
745,DX Fighter (Fighter),110,Light,Eagle Talon Collab Venue,"Revita IV, Hero's Rag, Damascus Ore, DX Fighter",1650000
746,DX Fighter (Fighter),100,Light,Eagle Talon Collab Venue,"Revita IV, Hero's Rag, Damascus Ore, DX Fighter",660000
747,DX Fighter (Fighter),90,Light,Eagle Talon Collab Venue,"Revita IV, Hero's Rag, Damascus Ore, DX Fighter",330000
748,DX Fighter (Shostakovich),210,Light,Eagle Talon Collab Venue,"Revita VI, Hero's Rag, Orichalcum Ore, DX Fighter",27000000
749,DX Fighter (Shostakovich),200,Light,Eagle Talon Collab Venue,"Revita VI, Hero's Rag, Orichalcum Ore, DX Fighter",10800000
750,DX Fighter (Shostakovich),190,Light,Eagle Talon Collab Venue,"Revita VI, Hero's Rag, Orichalcum Ore, DX Fighter",5400000
751,DX Fighter (Shostakovich),230,Light,Eagle Talon Collab Venue,"Revita VI, Hero's Rag, Orichalcum Ore, DX Fighter",54000000
752,Earl Colon,102,Earth,Lufenas Mansion: Garden,"Hora Diomedea, Hard Nut, Osmanthus Barrette, Colon Woodchip",6500
753,Earustica,158,Dark,Pupalov Sector,"Shining Pebble, Homunculus Skeleton, Flapping Hell Ears, Dark Night Talisman",10000
754,Easter Event (all monster),0,Neutral,Event,"Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs, Easter Eggs",0
755,Eerie Crystal,34,Dark,Isthmus Of Kaus: Dragon's Den,"Magic Crystal Armor, Black Crystal Fragment, Turbid Crystal, Black Miasma, Irogeon, Hematite, Eerie Crystal",12600
756,Eerie Crystal,14,Dark,Isthmus Of Kaus: Dragon's Den,"Magic Crystal Armor, Black Crystal Fragment, Turbid Crystal, Black Miasma, Irogeon, Hematite",630
757,Eerie Crystal,24,Dark,Isthmus Of Kaus: Dragon's Den,"Magic Crystal Armor, Black Crystal Fragment, Turbid Crystal, Black Miasma, Irogeon, Hematite, Eerie Crystal, Magic Crystal Spear",6300
758,Eerie Crystal,64,Dark,Isthmus Of Kaus: Dragon's Den,"Magic Crystal Armor, Black Crystal Fragment, Turbid Crystal, Black Miasma, Irogeon, Hematite, Eerie Crystal",63000
759,Eerie Crystal,44,Dark,Isthmus Of Kaus: Dragon's Den,"Magic Crystal Armor, Black Crystal Fragment, Turbid Crystal, Black Miasma, Irogeon, Hematite, Eerie Crystal",31500
760,Eerie Scarecrow,185,Wind,Witch's Woods Area 3,"Tattered Old Clothes, Sturdy Core, Crow Feather, Mana Cascade Staff",34000
761,Eerie Scarecrow,184,Wind,Witch's Woods Area 2,"Tattered Old Clothes, Sturdy Core, Crow Feather, Mana Cascade Staff",34000
762,Eerie Scarecrow,183,Wind,Witch's Woods Area 1,"Tattered Old Clothes, Sturdy Core, Crow Feather, Mana Cascade Staff",34000
763,Egguania,194,Earth,Guardian Forest: Outer Area,"Forester's Hat, Short Mandibular Fang, Speckled Egg, Green Lizard Skin",28400
764,Egguania,192,Earth,Guardian Forest: Inner Area,"Forester's Hat, Short Mandibular Fang, Speckled Egg, Green Lizard Skin",28400
765,Egguania,192,Earth,Guardian Forest: Lost Woods,"Forester's Hat, Short Mandibular Fang, Speckled Egg, Green Lizard Skin",28400
766,Eidenliebe (Bitter),150,Dark,Maia Diela,"Adventurer's Garb, Love Cacao, Covenant Cacao, Orichalcum Ore, Eidenliebe",1500000
767,Eidenliebe (Dark),180,Dark,Maia Diela,"Adventurer's Garb, Chocolate Gifts II, Love Cacao, Covenant Cacao, Orichalcum Ore, Juno Shield II, Eidenliebe",900000
768,Eidenliebe (Milk),90,Dark,Maia Diela,"Adventurer's Garb, Cacao Crystal, Prime Chocolate Chip, Mithril Ore, Eidenliebe",370000
769,Eidenliebe (Sweet),120,Dark,Maia Diela,"Adventurer's Garb, Prime Chocolate Chip, Love Cacao, Orichalcum Ore, Eidenliebe",700000
770,Elecita,225,Wind,Propulsion System Zone: Accelerator,"Iron Choker, Lampstand Fragment, Hot Glass, Small Wing",51357
771,Elecita,223,Wind,Propulsion System Zone: Power Converter,"Iron Choker, Lampstand Fragment, Hot Glass, Small Wing",50457
772,Elizard,145,Earth,Forest of Ein,"Fairy Hat, Green Frill-Ear, Green Lemon, Climbing Claw",8500
773,Elizard,33,Earth,Land Of Chaos,"Reptile Bone, Lizard Skin, Hematite, Water Staff",1400
774,Energy Quartz,108,Light,Ultimea Sewer: East,"Shining Crystal Powder, Bead Fragment, Blue Crystal Clot, AGI+5",4500
775,Energy Quartz,106,Light,Ultimea Sewer: East,"Bead Fragment, Blue Crystal Clot, Shining Crystal Powder, AGI+5",4500
776,Enty,185,Dark,Witch's Woods Area 1,"Enty Mask, Enty Cloth, Black Obsidian, Red Spider Lily",29000
777,Enty,187,Dark,Witch's Woods Area 3,"Enty Mask, Enty Cloth, Black Obsidian, Red Spider Lily",29000
778,Enty,186,Dark,Witch's Woods Area 2,"Enty Mask, Enty Cloth, Black Obsidian, Red Spider Lily",29000
779,Eripmav (Easy),200,Dark,Risus Valley: Depths,"Sweets Box, Crimson Moon Cape, Crimson Moon Hat, Broken Big Stake, Crimson Moon Rag, Hematite, Eripmav",4000000
780,Eripmav (Hard),250,Dark,Risus Valley: Depths,"Sweets Box, Crimson Moon Cape, Crimson Moon Hat, Broken Big Stake, Crimson Moon Rag, Mithril Ore, Eripmav",11000000
781,Eripmav (Normal),225,Dark,Risus Valley: Depths,"Sweets Box, Crimson Moon Cape, Crimson Moon Hat, Broken Big Stake, Crimson Moon Rag, Damascus Ore, Eripmav",7000000
782,Eripmav (Very Hard),275,Dark,Risus Valley: Depths,"Sweets Box, Crimson Moon Mystic Bow, Broken Big Stake, Crimson Moon Rag, Mithril Ore, Primordial Moonlit, Crimson Moon Mystic Spear",30000000
783,Eroded Pilz,192,Fire,Morthell Swell: Deep Area,"Eroded Strahl, Eroded Pilz Fragment, Fellow Spore, Corroded Mushroom Cap, Gladiate Crystal, Broken Mushroom Nail, Eroded Pilz, Eroded Rebellion",11800000
784,Eroded Pilz,182,Fire,Morthell Swell: Deep Area,"Eroded Strahl, Eroded Pilz Fragment, Fellow Spore, Corroded Mushroom Cap, Gladiate Crystal, Broken Mushroom Nail, Eroded Pilz, Eroded Rebellion",4720000
785,Eroded Pilz,172,Fire,Morthell Swell: Deep Area,"Eroded Strahl, Eroded Pilz Fragment, Fellow Spore, Corroded Mushroom Cap, Gladiate Crystal, Broken Mushroom Nail, Eroded Pilz, Eroded Rebellion",2360000
786,Eroded Pilz,162,Fire,Morthell Swell: Deep Area,"Eroded Strahl, Eroded Pilz Fragment, Fellow Spore, Broken Mushroom Nail, Gladiate Crystal, Corroded Mushroom Cap, Eroded Rebellion",236000
787,Eroded Pilz,212,Fire,Morthell Swell: Deep Area,"Eroded Strahl, Eroded Pilz Fragment, Fellow Spore, Corroded Mushroom Cap, Gladiate Crystal, Broken Mushroom Nail, Eroded Pilz, Eroded Rebellion",23600000
788,Eroded Pilz (Megiston 2020),180,Water,Event,"Eroded Strahl, Eroded Pilz, Eroded Rebellion",3000000
789,Espectro,221,Dark,Arche Valley: Area 1,"Metal Shackles, Vengeful Soul, Skull Mask Fragment, Espectro",Unknown
790,Etoise,285,Dark,High Difficulty Boss Battle Event Venue,"Mysterious Music Box, Mystic Star Spear, Etoise",Unknown
791,Etoise,290,Dark,High Difficulty Boss Battle Event Venue,"Mysterious Music Box, Mystic Star Spear, Etoise",Unknown
792,Etoise,280,Dark,High Difficulty Boss Battle Event Venue,"Mysterious Music Box, Mystic Star Spear, Etoise",Unknown
793,Etoise,275,Dark,High Difficulty Boss Battle Event Venue,"Mysterious Music Box, Mystic Star Spear, Etoise",Unknown
794,Euris,121,Light,Hanami Event Venue (Chapter 3 Hard),"Flower Nectar, Revita V, Anti-Degradation, Orichalcum Ore, Mithril Ore",6500
795,Euris,122,Light,Hanami Event Venue (Chapter 3 Hard),"Revita V, Flower Nectar, Anti-Degradation, Mithril Ore, Orichalcum Ore",6500
796,Euris,30,Neutral,Lonogo Canyon,"Carrot, Crystal Earrings, Fluffy Fur, Short Nail",500
797,Euris,50,Light,Otsukimi Event Venue: Crater Zone,"Otsukimi Dango, Short Nail, Fluffy Fur",3000
798,Evil Crystal Beast,111,Dark,Lunagent Mountain: Deepest Area,"Aunigma, Armigma, Adventurer's Garb, Core of Magic Crystal Beast, Evil Crystal Beast Horns, Crystalized Skin, Evil Crystal Beast Claw, Evil Crystal Beast",2650000
799,Evil Crystal Beast,101,Dark,Lunagent Mountain: Deepest Area,"Aunigma, Armigma, Adventurer's Garb, Core of Magic Crystal Beast, Evil Crystal Beast Horns, Crystalized Skin, Evil Crystal Beast Claw, Evil Crystal Beast",1060000
800,Evil Crystal Beast,81,Dark,Lunagent Mountain: Deepest Area,"Aunigma, Armigma, Adventurer's Garb, Core of Magic Crystal Beast, Evil Crystal Beast Horns, Crystalized Skin, Evil Crystal Beast Claw",53000
801,Evil Crystal Beast,91,Dark,Lunagent Mountain: Deepest Area,"Aunigma, Armigma, Adventurer's Garb, Core of Magic Crystal Beast, Evil Crystal Beast Horns, Crystalized Skin, Evil Crystal Beast Claw, Evil Crystal Beast",530000
802,Evil Crystal Beast,131,Dark,Lunagent Mountain: Deepest Area,"Aunigma, Armigma, Adventurer's Garb, Core of Magic Crystal Beast, Evil Crystal Beast Horns, Crystalized Skin, Evil Crystal Beast Claw, Evil Crystal Beast",5300000
803,Evil Crystal Beast (Megiston 2017),130,Dark,Event,"Aunigma, Armigma, Crystalized Skin, Evil Crystal Beast",470000
804,Evil Dark Book,92,Dark,Dark Manor: Area 2,"Dark Manor, Dark Page, Torn Book Cover, CSPD+80",Unknown
805,Evil Dark Book,90,Dark,Dark Manor: Area 2,"Dark Manor, Dark Page, Torn Book Cover, CSPD+80",Unknown
806,Evil Dark Book,92,Dark,Dark Manor: Area 1,"Dark Manor, Dark Page, Torn Book Cover, CSPD+80",Unknown
807,Evil Emerald Beast,120,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Silver 4th Anniv Medal",125000
808,Evil Emerald Beast,110,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Silver 4th Anniv Medal",50000
809,Evil Emerald Beast,140,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Pom 3rd Anniv Medal",250000
810,Evil Emerald Beast,100,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Silver 4th Anniv Medal",250000
811,Evil Emerald Beast,120,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Pom 3rd Anniv Medal",125000
812,Evil Emerald Beast,140,Wind,Event,"Revita IV, Vita Plus IV, Regera IV, Magiadd IV, Ribbon, Silpom 2nd Anniv Medal",2500000
813,Evil Emerald Beast,110,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Pom 3rd Anniv Medal",50000
814,Evil Emerald Beast,120,Wind,Event,"Revita IV, Vita Plus IV, Regera IV, Magiadd IV, Ribbon, Silpom 2nd Anniv Medal",1250000
815,Evil Emerald Beast,100,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Pom 3rd Anniv Medal",250000
816,Evil Emerald Beast,110,Wind,Event,"Revita IV, Vita Plus IV, Regera IV, Magiadd IV, Ribbon, Silpom 2nd Anniv Medal",500000
817,Evil Emerald Beast,140,Wind,Anniversary Arena: 2nd Venue,"Magiadd IV, Revita IV, Silver 4th Anniv Medal",250000
818,Evil Emerald Beast,100,Wind,Event,"Revita IV, Vita Plus IV, Regera IV, Magiadd IV, Ribbon, Silpom 2nd Anniv Medal",250000
819,Evil Eye,171,Dark,Morga Wasteland: Area 3,"Cursed Evil Eye, Little Fang, Bizarre Skin, Demon Serum",80000
820,Evil Eye,169,Dark,Morga Wasteland: Area 1,"Cursed Evil Eye, Little Fang, Bizarre Skin, Demon Serum",80000
821,Evil Ice Crystal,112,Water,Navida City: West (100-120),"Crystal Cluster, Splendor Crystal, Chipped Crystal Stone, Mithril Ore",Unknown
822,Evil Ice Crystal,112,Water,Navida City: East (100-120),"Crystal Cluster, Splendor Crystal, Chipped Crystal Stone, Mithril Ore",Unknown
823,Evil Ice Crystal,112,Water,Navida City: Crossroad (100-120),"Crystal Cluster, Splendor Crystal, Chipped Crystal Stone, Mithril Ore",Unknown
824,Evil Ice Crystal,92,Water,Navida City: East (80-100),"Crystal Cluster, Parasite Crystal, Crystal Powder, Damascus Ore",Unknown
825,Evil Ice Crystal,71,Water,Navida City: East (60-80),"Crystal Cluster, Living Liquid, Crystal of Flowing Water, Hematite",Unknown
826,Evil Ice Crystal,92,Water,Navida City: West (80-100),"Crystal Cluster, Parasite Crystal, Crystal Powder, Damascus Ore",Unknown
827,Evil Ice Crystal,71,Water,Navida City: West (60-80),"Crystal Cluster, Living Liquid, Crystal of Flowing Water, Hematite",Unknown
828,Evil Ice Crystal,92,Water,Navida City: Crossroad (80-100),"Crystal Cluster, Parasite Crystal, Crystal Powder, Damascus Ore",Unknown
829,Evil Ice Crystal,71,Water,Navida City: Crossroad (60-80),"Crystal Cluster, Living Liquid, Crystal of Flowing Water, Hematite",Unknown
830,Evil Lefina (Choco),230,Neutral,El Scaro,"Lolliodd Magic Sword, Evil Tiara, Troublesome Cookie Crumb, Ritzy Ribbon, Torn Wrapping Paper, Orichalcum Ore, Evil Lefina, Lolliodd Magic Halberd",7000000
831,Evil Lefina (Cocoa),200,Neutral,El Scaro,"Lolliodd Magic Sword, Troublesome Cookie Crumb, Ritzy Ribbon, Torn Wrapping Paper, Mithril Ore, Evil Lefina, Lolliodd Magic Halberd",5000000
